Movie,URL,Year,Director,Cast,Genre,Movie_ID
Kill Bill Volume 1,https://en.wikipedia.org/wiki/Kill_Bill#Volume_1,2003,Quentin Tarantino,"Uma Thurman, Lucy Liu, Vivica A. Fox, David Carradine, Daryl Hannah, Michael Madsen",Action,777
 Lara Croft Tomb Raider: The Cradle of Life,https://en.wikipedia.org/wiki/Lara_Croft_Tomb_Raider:_The_Cradle_of_Life,2003,Jan de Bont,"Angelina Jolie, Gerard Butler","Action, fantasy",778
The Last Samurai,https://en.wikipedia.org/wiki/The_Last_Samurai,2003,Edward Zwick,"Tom Cruise, Ken Watanabe, Timothy Spall, Billy Connolly","Action, drama",779
The League of Extraordinary Gentlemen,https://en.wikipedia.org/wiki/The_League_of_Extraordinary_Gentlemen_(film),2003,Stephen Norrington,"Sean Connery, Naseeruddin Shah, Peta Wilson, Tony Curran, Stuart Townsend, Shane West, Jason Flemyng, Richard Roxburgh",Superhero,780
"Legally Blonde 2: Red, White & Blonde","https://en.wikipedia.org/wiki/Legally_Blonde_2:_Red,_White_%26_Blonde",2003,Charles Herman-Wurmfeld,"Reese Witherspoon, Sally Field, Luke Wilson, Bob Newhart",Comedy,781
The Life of David Gale,https://en.wikipedia.org/wiki/The_Life_of_David_Gale,2003,Alan Parker,"Kevin Spacey, Kate Winslet, Laura Linney",Crime drama,782
The Lizzie McGuire Movie,https://en.wikipedia.org/wiki/The_Lizzie_McGuire_Movie,2003,Jim Fall,Hilary Duff,Comedy,783
Looney Tunes: Back in Action,https://en.wikipedia.org/wiki/Looney_Tunes:_Back_in_Action,2003,Joe Dante,"Brendan Fraser, Jenna Elfman, Steve Martin, Heather Locklear",live-action/animation,784
The Lord of the Rings: The Return of the King,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King,2003,Peter Jackson,"Elijah Wood, Ian McKellen, Liv Tyler, Sean Astin, Andy Serkis, Hugo Weaving, Viggo Mortensen, Cate Blanchett, Orlando Bloom, Karl Urban, Miranda Otto","Adventure, fantasy",785
Lost in Translation,https://en.wikipedia.org/wiki/Lost_in_Translation_(film),2003,Sofia Coppola,"Bill Murray, Scarlett Johansson",Comedy-drama,786
Love Don't Cost a Thing,https://en.wikipedia.org/wiki/Love_Don%27t_Cost_a_Thing_(film),2003,Troy Beyer,"Nick Cannon, Christina Milian",Romantic comedy,787
 Malibu's Most Wanted,https://en.wikipedia.org/wiki/Malibu%27s_Most_Wanted,2003,John Whitesell,Jamie Kennedy,Comedy-drama,788
A Man Apart,https://en.wikipedia.org/wiki/A_Man_Apart,2003,F. Gary Gray,"Vin Diesel, Larenz Tate, Timothy Olyphant",Crime,789
Manhood,https://en.wikipedia.org/wiki/Manhood_(film),2003,Bobby Roth,"Nestor Carbonell, John Ritter, Janeane Garofalo",Comedy-drama,790
Marci X,https://en.wikipedia.org/wiki/Marci_X,2003,Richard Benjamin,"Lisa Kudrow, Damon Wayans",Comedy,791
Masked and Anonymous,https://en.wikipedia.org/wiki/Masked_and_Anonymous,2003,Larry Charles,"Jeff Bridges, John Goodman, Bob Dylan",Comedy-drama,792
Master and Commander: The Far Side of the World,https://en.wikipedia.org/wiki/Master_and_Commander:_The_Far_Side_of_the_World,2003,Peter Weir,"Russell Crowe, Paul Bettany","Drama, war",793
Matchstick Men,https://en.wikipedia.org/wiki/Matchstick_Men_(film),2003,Ridley Scott,"Nicolas Cage, Sam Rockwell, Alison Lohman",Crime comedy,794
The Matrix Reloaded,https://en.wikipedia.org/wiki/The_Matrix_Reloaded,2003,"Andy Wachowski, Larry Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving","Action, sci-fi",795
The Matrix Revolutions,https://en.wikipedia.org/wiki/The_Matrix_Revolutions,2003,"Andy Wachowski, Larry Wachowski","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",Science fiction,796
May,https://en.wikipedia.org/wiki/May_(film),2003,Lucky McKee,"Angela Bettis, Jeremy Sisto, Anna Faris",Horror,797
The Medallion,https://en.wikipedia.org/wiki/The_Medallion,2003,Gordon Chan,"Jackie Chan, Lee Evans, Claire Forlani",Fantasy,798
A Mighty Wind,https://en.wikipedia.org/wiki/A_Mighty_Wind,2003,Christopher Guest,"Catherine O'Hara, Eugene Levy, Michael McKean, Harry Shearer, Bob Balaban, Parker Posey",Mockumentary,799
"Milwaukee, Minnesota","https://en.wikipedia.org/w/index.php?title=Milwaukee,_Minnesota&action=edit&redlink=1",2003,Allan Mindel,Troy Garity,Drama,800
The Missing,https://en.wikipedia.org/wiki/The_Missing_(2003_film),2003,Ron Howard,"Tommy Lee Jones, Cate Blanchett, Evan Rachel Wood",Western drama,801
Mona Lisa Smile,https://en.wikipedia.org/wiki/Mona_Lisa_Smile,2003,Mike Newell,"Julia Roberts, Kirsten Dunst, Julia Stiles, Maggie Gyllenhaal, Ginnifer Goodwin","Drama, romance",802
Monster,https://en.wikipedia.org/wiki/Monster_(2003_film),2003,Patty Jenkins,"Charlize Theron, Christina Ricci",Crime drama,803
Monster Man,https://en.wikipedia.org/wiki/Monster_Man_(film),2003,Michael Davis,"Eric Jungmann, Justin Urich, Aimee Brooks, Michael Bailey Smith",Horror comedy,804
My Boss's Daughter,https://en.wikipedia.org/wiki/My_Boss%27s_Daughter,2003,David Zucker,"Ashton Kutcher, Tara Reid, Terence Stamp",Romantic comedy,805
My Flesh and Blood,https://en.wikipedia.org/wiki/My_Flesh_and_Blood_(film),2003,Jonathan Karsh,Susam Tom and 11 children with disabilities,Documentary,806
Mystic River,https://en.wikipedia.org/wiki/Mystic_River_(film),2003,Clint Eastwood,"Sean Penn, Tim Robbins, Kevin Bacon, Laura Linney, Laurence Fishburne, Marcia Gay Harden",Crime drama,807
 National Lampoon Presents Dorm Daze,https://en.wikipedia.org/wiki/National_Lampoon_Presents_Dorm_Daze,2003,"David Hillenbrand, Scott Hillenbrand","Tatyana Ali, Boti Bliss, Marieh Delfino",Comedy,808
National Lampoon's Gold Diggers,https://en.wikipedia.org/wiki/National_Lampoon%27s_Gold_Diggers,2003,Gary Preisler,"Will Friedle, Chris Owen, Louise Lasser, Renée Taylor",Comedy,809
National Security,https://en.wikipedia.org/wiki/National_Security_(film),2003,Dennis Dugan,"Martin Lawrence, Steve Zahn",Action comedy,810
The Night We Called it a Day,https://en.wikipedia.org/wiki/The_Night_We_Called_It_a_Day_(film),2003,Paul Goldman,"Dennis Hopper, Joel Edgerton, Melanie Griffith",Biographical,811
 Old School,https://en.wikipedia.org/wiki/Old_School_(film),2003,Todd Phillips,"Luke Wilson, Will Ferrell, Vince Vaughn",Comedy,812
Once Upon a Time in Mexico,https://en.wikipedia.org/wiki/Once_Upon_a_Time_in_Mexico,2003,Robert Rodriguez,"Antonio Banderas, Salma Hayek, Johnny Depp",Action,813
Open Range,https://en.wikipedia.org/wiki/Open_Range_(2003_film),2003,Kevin Costner,"Robert Duvall, Kevin Costner, Annette Bening, Michael Gambon, Diego Luna, James Russo",Western drama,814
Open Water,https://en.wikipedia.org/wiki/Open_Water_(film),2003,Chris Kentis,"Blanchard Ryan, Daniel Travis","Drama, Thriller",815
The Order,https://en.wikipedia.org/wiki/The_Order_(2003_film),2003,Brian Helgeland,"Heath Ledger, Shannyn Sossamon, Benno Fürmann","Action, thriller",816
Out of Time,https://en.wikipedia.org/wiki/Out_of_Time_(2003_film),2003,Carl Franklin,"Denzel Washington, Eva Mendes",Crime drama,817
 Party Monster,https://en.wikipedia.org/wiki/Party_Monster_(2003_film),2003,"Fenton Bailey, Randy Barbato","Seth Green, Macaulay Culkin, Diana Scarwid","Biography, crime",818
Paper Soldiers,https://en.wikipedia.org/wiki/Paper_Soldiers,2003,"David V. Daniel, Damon Dash","Beanie Sigel, Kevin Hart",Crime comedy,819
Pauly Shore Is Dead,https://en.wikipedia.org/wiki/Pauly_Shore_Is_Dead,2003,Pauly Shore,Pauly Shore,Mockumentary,820
Paycheck,https://en.wikipedia.org/wiki/Paycheck_(film),2003,John Woo,"Ben Affleck, Aaron Eckhart, Uma Thurman, Paul Giamatti, Joe Morton","Action, sci-fi",821
Peter Pan,https://en.wikipedia.org/wiki/Peter_Pan_(2003_film),2003,P.J. Hogan,"Jeremy Sumpter, Rachel Hurd-Wood, Jason Isaacs, Ludivine Sagnier","Family, fantasy",822
Phone Booth,https://en.wikipedia.org/wiki/Phone_Booth_(film),2003,Joel Schumacher,"Colin Farrell, Kiefer Sutherland, Forest Whitaker, Katie Holmes",Thriller,823
Pieces of April,https://en.wikipedia.org/wiki/Pieces_of_April,2003,Peter Hedges,"Katie Holmes, Derek Luke, Oliver Platt, Patricia Clarkson",Comedy-drama,824
Piglet's Big Movie,https://en.wikipedia.org/wiki/Piglet%27s_Big_Movie,2003,Francis Glebas,"Peter Cullen, Jim Cummings, John Fiedler",Animation,825
Pirates of the Caribbean: The Curse of the Black Pearl,https://en.wikipedia.org/wiki/Pirates_of_the_Caribbean:_The_Curse_of_the_Black_Pearl,2003,Gore Verbinski,"Orlando Bloom, Johnny Depp, Keira Knightley, Geoffrey Rush","Fantasy, swashbuckler",826
Poolhall Junkies,https://en.wikipedia.org/wiki/Poolhall_Junkies,2003,Mars Callahan,"Mars Callahan, Chazz Palminteri, Rod Steiger, Michael Rosenbaum",Drama,827
Prey for Rock & Roll,https://en.wikipedia.org/wiki/Prey_for_Rock_%26_Roll,2003,Alex Steyermark,"Gina Gershon, Drea de Matteo, Lori Petty, Shelly Cole",Musical drama,828
Puppet Master: The Legacy,https://en.wikipedia.org/wiki/Puppet_Master:_The_Legacy,2003,Charles Band,"Jacob Witkin, Kate Orsini",Horror,829
Quicksand,https://en.wikipedia.org/wiki/Quicksand_(2003_film),2003,John MacKenzie,"Michael Keaton, Michael Caine",Crime,830
 Radio,https://en.wikipedia.org/wiki/Radio_(2003_film),2003,Mike Tollin,"Ed Harris, Cuba Gooding, Jr., Debra Winger",Biography,831
The Real Cancun,https://en.wikipedia.org/wiki/The_Real_Cancun,2003,Rick de Oliveira,"Benjamin ""Fletch"" Fletcher, Nicole Frilot, Roxanne Frilot",Reality,832
The Recruit,https://en.wikipedia.org/wiki/The_Recruit,2003,Roger Donaldson,"Al Pacino, Colin Farrell, Bridget Moynahan",Action,833
The Room,https://en.wikipedia.org/wiki/The_Room_(film),2003,Tommy Wiseau,"Tommy Wiseau, Juliette Danielle",Drama,834
Rugrats Go Wild,https://en.wikipedia.org/wiki/Rugrats_Go_Wild,2003,"John Eng, Norton Virgien","Elizabeth Daily, Nancy Cartwright, Dionne Quan",Animation,835
Runaway Jury,https://en.wikipedia.org/wiki/Runaway_Jury,2003,Gary Fleder,"John Cusack, Gene Hackman, Dustin Hoffman, Rachel Weisz",Crime drama,836
The Rundown,https://en.wikipedia.org/wiki/The_Rundown,2003,Peter Berg,"The Rock, Seann William Scott, Christopher Walken, Rosario Dawson",Action comedy,837
 S.W.A.T.,https://en.wikipedia.org/wiki/S.W.A.T._(film),2003,Clark Johnson,"Samuel L. Jackson, Colin Farrell, Michelle Rodriguez, LL Cool J","Action, Crime",838
Scary Movie 3,https://en.wikipedia.org/wiki/Scary_Movie_3,2003,David Zucker,"Anna Faris, Charlie Sheen, Anthony Anderson, Leslie Nielsen, Simon Rex","Comedy, parody",839
School of Rock,https://en.wikipedia.org/wiki/School_of_Rock,2003,Richard Linklater,"Jack Black, Joan Cusack, Mike White, Sarah Silverman","Comedy, family",840
Seabiscuit,https://en.wikipedia.org/wiki/Seabiscuit_(film),2003,Gary Ross,"Tobey Maguire, Jeff Bridges, Chris Cooper, Elizabeth Banks, William H. Macy, Gary Stevens","Drama, Biography",841
Secondhand Lions,https://en.wikipedia.org/wiki/Secondhand_Lions,2003,Tim McCanlies,"Michael Caine, Robert Duvall, Haley Joel Osment",Comedy-drama,842
Shanghai Knights,https://en.wikipedia.org/wiki/Shanghai_Knights,2003,David Dobkin,"Jackie Chan, Owen Wilson","Action, comedy",843
Shattered Glass,https://en.wikipedia.org/wiki/Shattered_Glass_(film),2003,Billy Ray,"Hayden Christensen, Peter Sarsgaard, Chloë Sevigny, Hank Azaria, Steve Zahn, Rosario Dawson","Drama, Biography",844
Sinbad: Legend of the Seven Seas,https://en.wikipedia.org/wiki/Sinbad:_Legend_of_the_Seven_Seas,2003,"Tim Johnson, Patrick Gilmore","Brad Pitt, Catherine Zeta-Jones, Michelle Pfeiffer, Joseph Fiennes",Animation,845
The Singing Detective,https://en.wikipedia.org/wiki/The_Singing_Detective_(film),2003,Keith Gordon,"Robert Downey, Jr., Robin Wright Penn, Mel Gibson",Musical comedy,846
Sky Blue,https://en.wikipedia.org/wiki/Wonderful_Days_(film),2003,"Kim Moon-saeng, Park Sun-min","Marc Worden, Cathy Cavadini",Animation,847
Something's Gotta Give,https://en.wikipedia.org/wiki/Something%27s_Gotta_Give_(film),2003,Nancy Meyers,"Jack Nicholson, Diane Keaton, Keanu Reeves, Amanda Peet, Frances McDormand, Jon Favreau",Romantic comedy,848
Spy Kids 3-D: Game Over,https://en.wikipedia.org/wiki/Spy_Kids_3-D:_Game_Over,2003,Robert Rodriguez,"Alexa Vega, Daryl Sabara, Antonio Banderas, Carla Gugino, Sylvester Stallone","Adventure, family",849
The Station Agent,https://en.wikipedia.org/wiki/The_Station_Agent,2003,Tom McCarthy,"Peter Dinklage, Patricia Clarkson, Bobby Cannavale, Michelle Williams",Comedy-drama,850
Stuck on You,https://en.wikipedia.org/wiki/Stuck_on_You_(film),2003,Peter and Bobby Farrelly,"Matt Damon, Greg Kinnear, Eva Mendes, Cher",Comedy,851
 Tarnationthe,https://en.wikipedia.org/wiki/Tarnation_(film),2003,Jonathan Caouette,the life of Jonathan Caouette,Documentary,852
Tears of the Sun,https://en.wikipedia.org/wiki/Tears_of_the_Sun,2003,Antoine Fuqua,"Bruce Willis, Monica Bellucci, Cole Hauser",War,853
Terminator 3: Rise of the Machines,https://en.wikipedia.org/wiki/Terminator_3:_Rise_of_the_Machines,2003,Jonathan Mostow,"Arnold Schwarzenegger, Nick Stahl, Claire Danes, Kristanna Loken","Action, sci-fi",854
Testosterone,https://en.wikipedia.org/wiki/Testosterone_(2003_film),2003,David Moreton,"David Sutcliffe, Antonio Sabàto, Jr.",Action,855
The Texas Chainsaw Massacre,https://en.wikipedia.org/wiki/The_Texas_Chainsaw_Massacre_(2003_film),2003,Marcus Nispel,"Jessica Biel, Jonathan Tucker, Eric Balfour, Mike Vogel, Erica Leershen, R. Lee Ermey",Horror,856
Thirteen,https://en.wikipedia.org/wiki/Thirteen_(2003_film),2003,Catherine Hardwicke,"Evan Rachel Wood, Holly Hunter, Nikki Reed",Crime drama,857
This Girl's Life,https://en.wikipedia.org/wiki/This_Girl%27s_Life,2003,Ash,"Juliette Marquis, James Woods, Kip Pardue",Drama,858
This Thing of Ours,https://en.wikipedia.org/wiki/This_Thing_of_Ours,2003,Danny Provenzano,"Danny Provenzano, Frank Vincent",Crime drama,859
Timeline,https://en.wikipedia.org/wiki/Timeline_(film),2003,Richard Donner,"Paul Walker, Frances O'Connor, Gerard Butler","Action, sci-fi",860
Tupac: Resurrection,https://en.wikipedia.org/wiki/Tupac:_Resurrection,2003,Lauren Lazin,the life and death of Tupac Shakur,Documentary,861
Two Days,https://en.wikipedia.org/wiki/Two_Days,2003,Sean McGinly,"Paul Rudd, Donal Logue, Mackenzie Astin",Drama,862
 Uncle Nino,https://en.wikipedia.org/wiki/Uncle_Nino,2003,Robert Shallcross,"Joe Mantegna, Pierrino Mascarino, Anne Archer",Comedy-drama,863
Under the Tuscan Sun,https://en.wikipedia.org/wiki/Under_the_Tuscan_Sun_(film),2003,Audrey Wells,"Diane Lane, Sandra Oh, Lindsay Duncan",Romantic comedy,864
Underworld,https://en.wikipedia.org/wiki/Underworld_(2003_film),2003,Len Wiseman,"Kate Beckinsale, Scott Speedman, Michael Sheen, Shane Broller, Erwin Leder, Bill Nighy",Horror,865
Uptown Girls,https://en.wikipedia.org/wiki/Uptown_Girls,2003,Boaz Yakin,"Brittany Murphy, Dakota Fanning, Heather Locklear",Romantic comedy,866
 V-Day: Until the Violence Stops,https://en.wikipedia.org/wiki/V-Day:_Until_the_Violence_Stops,2003,Abby Epstein,V-Day,Documentary,867
Veronica Guerin,https://en.wikipedia.org/wiki/Veronica_Guerin_(film),2003,Joel Schumacher,"Cate Blanchett, Gerard McSorley, Ciarán Hinds","Biography, crime",868
View from the Top,https://en.wikipedia.org/wiki/View_from_the_Top,2003,Bruno Barreto,"Gwyneth Paltrow, Christina Applegate, Mark Ruffalo, Kelly Preston, Rob Lowe, Candice Bergen, Mike Myers",Romantic comedy,869
 What a Girl Wants,https://en.wikipedia.org/wiki/What_a_Girl_Wants_(film),2003,Dennie Gordon,Amanda Bynes,Comedy,870
When Eagles Strike,https://en.wikipedia.org/wiki/When_Eagles_Strike,2003,Cirio H. Santiago,"Christian Boeving, Stacy Keach","Action film, war",871
Willard,https://en.wikipedia.org/wiki/Willard_(2003_film),2003,Glen Morgan,Crispin Glover,Horror,872
Wonderland,https://en.wikipedia.org/wiki/Wonderland_(2003_film),2003,James Cox,"Val Kilmer, Kate Bosworth, Dylan McDermott",Crime drama,873
Wrong Turn,https://en.wikipedia.org/wiki/Wrong_Turn,2003,Rob Schmidt,"Desmond Harrington, Eliza Dushku, Jeremy Sisto, Emmanuelle Chriqui",Horror,874
 X2: X-Men United,https://en.wikipedia.org/wiki/X2_(film),2003,Bryan Singer,"Hugh Jackman, Patrick Stewart, Ian McKellen, Famke Janssen, Halle Berry, Anna Paquin",Superhero,875
 The Yes Men,https://en.wikipedia.org/wiki/The_Yes_Men_(film),2003,"Dan Ollman, Sarah Price, Chris Smith",the culture jamming exploits of The Yes Men,Documentary,876
The Young Black Stallion,https://en.wikipedia.org/wiki/The_Young_Black_Stallion,2003,Simon Wincer,"Biana Tamimi, Patrick Elyas, Eric Grucza","Drama, family",877
 Zero Day,https://en.wikipedia.org/wiki/Zero_Day_(film),2003,Ben Coccio,"Andre Keuck, Cal Robertson",Drama,878
 13 Going on 30,https://en.wikipedia.org/wiki/13_Going_on_30,2004,Gary Winick,"Jennifer Garner, Mark Ruffalo",Comedy,879
50 First Dates,https://en.wikipedia.org/wiki/50_First_Dates,2004,Peter Segal,"Adam Sandler, Drew Barrymore",Comedy,880
 After the Sunset,https://en.wikipedia.org/wiki/After_the_Sunset,2004,Brett Ratner,"Pierce Brosnan, Salma Hayek, Woody Harrelson, Don Cheadle",Crime,881
Against the Ropes,https://en.wikipedia.org/wiki/Against_the_Ropes,2004,Charles S. Dutton,"Meg Ryan, Omar Epps","Drama, Sports",882
Agent Cody Banks 2: Destination London,https://en.wikipedia.org/wiki/Agent_Cody_Banks_2:_Destination_London,2004,Kevin Allen,"Frankie Muniz, Anthony Anderson",Family,883
The Alamo,https://en.wikipedia.org/wiki/The_Alamo_(2004_film),2004,John Lee Hancock,"Dennis Quaid, Billy Bob Thornton, Jason Patric, Patrick Wilson",Western,884
Alexander,https://en.wikipedia.org/wiki/Alexander_(2004_film),2004,Oliver Stone,"Colin Farrell, Angelina Jolie, Val Kilmer, Rosario Dawson, Jared Leto, Raz Degan, Christopher Plummer, Anthony Hopkins","Action, history",885
Alfie,https://en.wikipedia.org/wiki/Alfie_(2004_film),2004,Charles Shyer,"Jude Law, Susan Sarandon, Marisa Tomei, Nia Long, Sienna Miller, Jane Krakowski, Omar Epps",Comedy,886
Alien vs. Predator,https://en.wikipedia.org/wiki/Alien_vs._Predator_(film),2004,Paul W. S. Anderson,"Sanaa Lathan, Lance Henriksen, Raoul Bova, Ewen Bremner","Horror, sci-fi",887
Along Came Polly,https://en.wikipedia.org/wiki/Along_Came_Polly,2004,John Hamburg,"Ben Stiller, Jennifer Aniston, Debra Messing, Philip Seymour Hoffman, Alec Baldwin",Comedy,888
America's Heart and Soul,https://en.wikipedia.org/wiki/America%27s_Heart_and_Soul,2004,Louis Schwartzberg,George Woodard,Documentary,889
Anacondas: The Hunt for the Blood Orchid,https://en.wikipedia.org/wiki/Anacondas:_The_Hunt_for_the_Blood_Orchid,2004,Dwight H. Little,"Johnny Messner, Matthew Marsden, Morris Chestnut, Salli Richardson",Horror,890
Anchorman: The Legend of Ron Burgundy,https://en.wikipedia.org/wiki/Anchorman:_The_Legend_of_Ron_Burgundy,2004,Adam McKay,"Will Ferrell, Christina Applegate, Paul Rudd, Steve Carell",Comedy,891
Around the Bend,https://en.wikipedia.org/wiki/Around_the_Bend,2004,Jordan Roberts,"Christopher Walken, Josh Lucas, Michael Caine",Drama,892
Around the World in 80 Days,https://en.wikipedia.org/wiki/Around_the_World_in_80_Days_(2004_film),2004,Frank Coraci,"Jackie Chan, Steve Coogan, Cécile de France",Adventure,893
The Assassination of Richard Nixon,https://en.wikipedia.org/wiki/The_Assassination_of_Richard_Nixon,2004,Niels Mueller,Sean Penn,"Biography, crime",894
The Aviator,https://en.wikipedia.org/wiki/The_Aviator_(2004_film),2004,Martin Scorsese,"Leonardo DiCaprio, Cate Blanchett, Alec Baldwin, John C. Reilly, Alan Alda, Jude Law, Kate Beckinsale, Danny Huston, Ian Holm","Biography, drama",895
 Barbershop 2: Back in Business,https://en.wikipedia.org/wiki/Barbershop_2:_Back_in_Business,2004,Kevin Rodney Sullivan,"Ice Cube, Cedric the Entertainer, Queen Latifah",Comedy,896
Before Sunset,https://en.wikipedia.org/wiki/Before_Sunset,2004,Richard Linklater,"Ethan Hawke, Julie Delpy",Drama,897
Being Julia,https://en.wikipedia.org/wiki/Being_Julia,2004,István Szabó,"Annette Bening, Jeremy Irons",Drama,898
Benji: Off the Leash!,https://en.wikipedia.org/wiki/Benji:_Off_the_Leash!,2004,Joe Camp,Nick Whitaker,Family,899
The Best Thief in the World,https://en.wikipedia.org/wiki/The_Best_Thief_in_the_World,2004,Jacob Kornbluth,Mary-Louise Parker,Comedy-drama,900
Beyond the Sea,https://en.wikipedia.org/wiki/Beyond_the_Sea_(film),2004,Kevin Spacey,"Kevin Spacey, Kate Bosworth, Bob Hoskins, John Goodman",Biography,901
